id_segmento,id_circuito,nodo_inicio,nodo_fin,longitud_m,tipo_conductor,capacidad_amp
116400145,"79 507",66400525,97400525,1.2,"101",1
116400218,"79 507",66400758,97400758,1.2,"101",1
116400219,"79 507",66400759,97400759,1.2,"101",1
116400224,"79 507",66400776,97400776,1.2,"101",1
116400227,"79 507",66400788,97400788,1.2,"101",1
116401039,"79 507",68400810,97400810,1.2,"101",1
116400331,"79 507",66401163,97401163,1.2,"101",1
116725815,"79 507",67401201,97401201,1.2,"101",1
116400339,"79 507",68401225,97401225,1.2,"101",1
116723941,"79 507",68401228,98401228,1.2,"101",1
109796312,"79 507",65841107,651132291,59.027,"101",1
109796314,"79 507",651132292,651132293,72.917,"101",1
109796310,"79 507",651132293,661132293,1.2,"101",1
109796316,"79 507",661132294,651132295,48.54,"101",1
109796320,"79 507",651132297,651132298,31.688,"101",1
109796321,"79 507",651132298,661132298,1.2,"101",1
109797690,"79 507",651146636,651146635,65.292,"101",1
109797691,"79 507",651146635,661146635,1.2,"101",1
109797689,"79 507",661146637,651146636,50.826,"101",1
105741212,"79 507",651146637,661146637,1.2,"101",1
105742778,"79 507",651181018,661181018,1.2,"101",1
109401282,"79 507",66400752,651198892,21.217,"101",1
105745165,"79 507",651198892,671198892,1.2,"101",1
105706066,"79 507",651199916,661199916,1.2,"101",1
109820629,"79 507",651276164,651208271,205.464,"101",1
109804768,"79 507",661210330,651210331,47.871,"101",1
109804770,"79 507",651210332,651210333,30.772,"101",1
109804766,"79 507",651210336,661210336,1.2,"101",1
109823214,"79 507",661210336,671210336,1.2,"101",1
109804767,"79 507",651210337,661210337,1.2,"101",1
105400333,"79 507",651217883,661217883,1.2,"101",1
109805796,"79 507",651209589,651217894,82.584,"101",1
105745964,"79 507",651217894,661217894,1.2,"101",1
109812886,"79 507",651231338,651231340,92.004,"101",1
109812862,"79 507",681239747,661239747,1.2,"101",1
105751567,"79 507",691239747,681239747,1.2,"101",1
109817267,"79 507",651256202,661256202,1.2,"101",1
109817270,"79 507",651256267,651256268,75.112,"101",1
109400735,"79 507",67400136,681277943,31.935,"101",1
105761224,"79 507",651294579,661294579,1.2,"101",1
109823216,"79 507",651294581,661294581,1.2,"101",1
109823219,"79 507",651294582,651294583,56.362,"101",1
109823220,"79 507",651294583,651294585,82.466,"101",1
105744430,"79 507",651300819,671300819,1.2,"101",1
105764855,"79 507",651312958,661312958,1.2,"101",1
109725368,"79 507",661320494,671320494,1.2,"101",1
109818799,"79 507",65768384,70400130,7.732,"101",1
105717360,"79 507",65400130,70400130,1.2,"101",1
109400734,"79 507",67400134,67400136,57.689,"101",1
109746733,"79 507",65820576,68400156,63.557,"101",1
109400759,"79 507",65400510,65400511,74.632,"101",1
109400761,"79 507",65400512,65400513,99.457,"101",1
109400762,"79 507",651256292,65400513,212.479,"101",1
105732044,"79 507",65400514,66400514,1.2,"101",1
109817265,"79 507",65400514,68400514,1.2,"101",1
109400763,"79 507",65400514,65400515,408.264,"101",1
109745729,"79 507",65400519,67400519,1.2,"101",1
105400213,"79 507",65400522,67400522,1.2,"101",1
109400773,"79 507",65400524,65400525,97.899,"101",1
109401285,"79 507",66400755,65400756,216.363,"101",1
109401286,"79 507",66400756,65400757,3.162,"101",1
109401300,"79 507",66400810,65400771,568.901,"101",1
109406390,"79 507",65400773,66400773,1.2,"101",1
109401303,"79 507",67400773,65400774,89.05,"101",1
109401305,"79 507",66400775,65400776,57.481,"101",1
105712758,"79 507",65400780,67400780,1.2,"101",1
105712759,"79 507",67400780,68400780,1.2,"101",1
109727712,"79 507",65770606,68400780,13.067,"101",1
109812858,"79 507",66829961,65400783,193.002,"101",1
105751568,"79 507",65400785,66400785,1.2,"101",1
109812865,"79 507",66400786,65400787,231.702,"101",1
105400345,"79 507",65400788,66400788,1.2,"101",1
109812880,"79 507",66400790,65400791,98.813,"101",1
109407483,"79 507",65400795,66400795,1.2,"101",1
109407485,"79 507",66400795,67400795,1.2,"101",1
109401326,"79 507",65400796,65400797,93.536,"101",1
105400350,"79 507",66400798,67400798,1.2,"101",1
109405132,"79 507",66400803,65400803,1.2,"101",1
109401266,"79 507",65400802,65400803,69.656,"101",1
109757883,"79 507",66842719,65400807,80.455,"101",1
105400321,"79 507",65400808,66400808,1.2,"101",1
105400323,"79 507",67400810,65400810,1.2,"101",1
109401273,"79 507",65400809,65400810,365.82,"101",1
109401275,"79 507",66400811,65400812,394.707,"101",1
105400325,"79 507",66400813,67400813,1.2,"101",1
109771653,"79 507",65400815,66400815,1.2,"101",1
109401906,"79 507",66400798,65401117,350.714,"101",1
109812883,"79 507",651280466,65401161,236.271,"101",1
109407487,"79 507",65401161,66401161,1.2,"101",1
105712241,"79 507",65401163,67401163,1.2,"101",1
109402368,"79 507",67401171,65401171,1.2,"101",1
109401615,"79 507",66401170,65401171,241.747,"101",1
109401995,"79 507",67400798,65401189,144.462,"101",1
109792270,"79 507",651073297,65401199,20.686,"101",1
105743572,"79 507",66401199,67401199,1.2,"101",1
105743573,"79 507",68401199,67401199,1.2,"101",1
109401637,"79 507",66401199,65401201,80.555,"101",1
109406391,"79 507",65401201,66401201,1.2,"101",1
105400539,"79 507",66401201,67401201,1.2,"101",1
109406392,"79 507",65401202,66401202,1.2,"101",1
109825514,"79 507",65401204,66401204,1.2,"101",1
109401644,"79 507",65401206,65401207,232.974,"101",1
109401647,"79 507",65401209,65401210,39.159,"101",1
109406412,"79 507",66401210,65401210,1.2,"101",1
105400522,"79 507",66401210,67401210,1.2,"101",1
109401648,"79 507",66401210,65401212,234.959,"101",1
109401649,"79 507",65401212,65401213,122.8,"101",1
109401650,"79 507",65401213,65401214,101.548,"101",1
105400523,"79 507",65401215,66401215,1.2,"101",1
105400524,"79 507",65401219,66401219,1.2,"101",1
109711762,"79 507",66401220,68401220,1.2,"101",1
109401660,"79 507",65401223,65401224,142.239,"101",1
109401661,"79 507",65401224,65401225,119.309,"101",1
109401664,"79 507",66401225,65401228,638.286,"101",1
109736026,"79 507",69770202,65419221,29.024,"101",1
109710682,"79 507",66400514,65737486,49.045,"101",1
105732326,"79 507",65737486,66737486,1.2,"101",1
109711823,"79 507",65739389,65739388,113.135,"101",1
109721200,"79 507",65761478,67739391,399.167,"101",1
105740591,"79 507",65739394,66739394,1.2,"101",1
109806530,"79 507",651221209,66739394,56.884,"101",1
105762135,"79 507",65766274,66766274,1.2,"101",1
105711816,"79 507",66766274,67766274,1.2,"101",1
109725406,"79 507",66770175,66770176,51.84,"101",1
109725407,"79 507",66770176,67770176,1.2,"101",1
109725460,"79 507",66770179,67770180,66.989,"101",1
109725461,"79 507",67770180,68770180,1.2,"101",1
109725468,"79 507",68770180,66770181,62.187,"101",1
109725480,"79 507",67770183,66770184,38.63,"101",1
109725509,"79 507",67770186,67770185,59.823,"101",1
109725522,"79 507",67770188,68770188,1.2,"101",1
109725541,"79 507",66770195,67770196,59.195,"101",1
109725573,"79 507",66770199,66770200,29.382,"101",1
109725581,"79 507",66770200,66770201,47.389,"101",1
109725582,"79 507",66770201,69770201,1.2,"101",1
109706615,"79 507",70400005,68773081,36.143,"101",1
109805794,"79 507",65789358,68789358,1.2,"101",1
109738888,"79 507",69401225,65802844,207.917,"101",1
109747856,"79 507",65802844,67802844,1.2,"101",1
109747854,"79 507",65823820,65802845,186.795,"101",1
105718866,"79 507",65804811,66804811,1.2,"101",1
